epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4999,1.03606,3.1034,1.13941,0.6655,0.24251,0.25589,0.20621,2.13099,3.00681,1.72836,0.00033165,0.00033165,0.00033165
2,84.1522,1.02794,1.59434,1.10176,0.70842,0.2373,0.2672,0.21641,2.12184,2.7435,1.61936,0.00063865,0.00063865,0.00063865
3,125.086,1.06051,1.46779,1.11529,0.60148,0.27266,0.27961,0.22762,2.06427,2.5959,1.58363,0.00091925,0.00091925,0.00091925
4,165.941,1.09299,1.4944,1.14407,0.69322,0.26301,0.2769,0.22643,2.04577,3.02901,1.7219,0.0008812,0.0008812,0.0008812
5,208.457,1.04971,1.42136,1.1194,0.72148,0.27534,0.28256,0.22344,1.95433,2.67538,1.6049,0.0008416,0.0008416,0.0008416
6,248.506,0.9938,1.27188,1.08834,0.63099,0.28212,0.29532,0.24111,1.9983,2.5524,1.61867,0.000802,0.000802,0.000802
7,289.251,0.94952,1.21311,1.06369,0.70248,0.29159,0.30462,0.25114,1.97453,2.49987,1.61276,0.0007624,0.0007624,0.0007624
8,331.754,0.93042,1.14795,1.06488,0.66604,0.31254,0.32238,0.26507,1.96806,2.5538,1.53516,0.0007228,0.0007228,0.0007228
9,372.797,0.98894,1.22144,1.08164,0.70218,0.30529,0.32492,0.25676,1.94975,2.42189,1.55023,0.0006832,0.0006832,0.0006832
10,413.618,0.9263,1.14871,1.0571,0.74088,0.32053,0.34369,0.28411,1.93014,2.52508,1.61421,0.0006436,0.0006436,0.0006436
11,454.357,0.93431,1.11183,1.06781,0.74018,0.31361,0.33659,0.27749,1.95506,2.5275,1.61303,0.000604,0.000604,0.000604
12,495.539,0.89551,1.08789,1.04773,0.78793,0.33044,0.34966,0.27912,1.90567,2.35928,1.52564,0.0005644,0.0005644,0.0005644
13,536.63,0.88896,1.03678,1.05193,0.79462,0.33355,0.34861,0.28962,1.92043,2.43899,1.49786,0.0005248,0.0005248,0.0005248
14,577.829,0.87981,1.01506,1.03945,0.73538,0.33721,0.35775,0.29989,1.90463,2.47345,1.45499,0.0004852,0.0004852,0.0004852
15,618.213,0.88018,1.01465,1.04111,0.84256,0.3279,0.35551,0.29643,1.93336,2.50301,1.52777,0.0004456,0.0004456,0.0004456
16,688.346,0.91191,1.11625,1.05982,0.74588,0.33997,0.34686,0.28592,1.87044,2.29286,1.52078,0.000406,0.000406,0.000406
17,734.775,0.8904,1.07847,1.04851,0.84892,0.31313,0.3486,0.2863,1.83739,2.32286,1.47771,0.0003664,0.0003664,0.0003664
18,802.734,0.87239,1.02364,1.04255,0.76185,0.33204,0.35609,0.29532,1.91911,2.42068,1.48456,0.0003268,0.0003268,0.0003268
19,842.857,0.84756,1.00329,1.04286,0.7993,0.34156,0.35928,0.30732,1.80518,2.2708,1.49632,0.0002872,0.0002872,0.0002872
20,910.782,0.85295,0.98721,1.04005,0.89168,0.34023,0.37307,0.31331,1.8161,2.46657,1.49013,0.0002476,0.0002476,0.0002476
21,965.436,0.85319,1.00056,1.04953,0.91529,0.33493,0.37544,0.31255,1.78097,2.29836,1.4032,0.000208,0.000208,0.000208
22,1005.35,0.82406,0.9384,1.02396,0.87308,0.33137,0.36868,0.31898,1.79519,2.29009,1.40275,0.0001684,0.0001684,0.0001684
23,1048.39,0.83076,0.93335,1.03376,0.77711,0.34781,0.3632,0.30724,1.78588,2.34508,1.47562,0.0001288,0.0001288,0.0001288
24,1088.3,0.81613,0.91955,1.02899,0.8686,0.33071,0.36933,0.31296,1.8163,2.40528,1.50146,8.92e-05,8.92e-05,8.92e-05
25,1129.48,0.79311,0.87339,1.01138,0.8783,0.33111,0.37028,0.31514,1.7604,2.33356,1.47932,4.96e-05,4.96e-05,4.96e-05
