epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,388.657,0.9644,3.103,1.08909,0.54399,0.22358,0.23008,0.18788,2.13073,3.10992,1.71373,0.000329114,0.000329114,0.000329114
2,714.922,0.99334,1.48962,1.07083,0.77925,0.20247,0.23947,0.19112,2.28934,3.29066,1.82199,0.000636214,0.000636214,0.000636214
3,1038.5,1.029,1.39295,1.08969,0.75615,0.2014,0.23412,0.19401,2.3235,2.93933,1.67899,0.000916915,0.000916915,0.000916915
4,1323.59,0.99489,1.29459,1.07376,0.58819,0.31281,0.30538,0.23674,2.12846,3.16689,1.45498,0.0008812,0.0008812,0.0008812
5,1630.05,0.99467,1.28353,1.06897,0.76892,0.24998,0.28976,0.23518,2.22018,2.87544,1.69474,0.0008416,0.0008416,0.0008416
6,1934.47,0.9339,1.13373,1.04105,0.66683,0.29223,0.27848,0.23072,2.16834,3.02012,1.60526,0.000802,0.000802,0.000802
7,2230.13,0.93018,1.09625,1.03641,0.7239,0.28185,0.30897,0.25066,2.05445,2.56663,1.4074,0.0007624,0.0007624,0.0007624
8,2548.03,0.90161,1.08444,1.03254,0.80019,0.2949,0.33302,0.26613,2.06556,2.65513,1.57624,0.0007228,0.0007228,0.0007228
9,2843.01,0.91095,1.09147,1.03613,0.74457,0.29403,0.33727,0.27048,2.1314,2.5027,1.38361,0.0006832,0.0006832,0.0006832
10,3144.09,0.88526,1.02182,1.02096,0.78507,0.31758,0.34753,0.2759,2.09462,2.54796,1.6521,0.0006436,0.0006436,0.0006436
11,3450.47,0.87751,0.99274,1.01747,0.78424,0.32032,0.34183,0.27853,2.13558,2.47577,1.6266,0.000604,0.000604,0.000604
12,3736.4,0.85913,0.96301,1.01444,0.82555,0.33373,0.36173,0.29127,1.92818,2.64718,1.48517,0.0005644,0.0005644,0.0005644
13,4042.2,0.8418,0.92926,1.00446,0.71795,0.32671,0.34549,0.27951,1.96187,2.51942,1.42605,0.0005248,0.0005248,0.0005248
14,4468.89,0.83197,0.91794,0.99617,0.68048,0.34212,0.33979,0.27293,1.93347,2.53476,1.45596,0.0004852,0.0004852,0.0004852
15,4837.81,0.84696,0.94071,1.01184,0.82782,0.31367,0.34516,0.28556,1.93683,2.43714,1.44469,0.0004456,0.0004456,0.0004456
